seat,name,kana,kaiha,party,terms,role,note
1,伊藤 昇,いとう のぼる,無所属,無所属,2,副議長,
2,河野 文彦,こうの ふみひこ,無所属,無所属,3,,監査委員
3,髙橋 邦雄,たかはし くにお,無所属,無所属,2,,民生文教常任委員会委員長
4,河野 淳,こうの あつし,無所属,無所属,1,,総務経済常任委員会副委員長
5,山田 誠,やまだ まこと,無所属,無所属,4,,議会運営委員会委員長
6,野口 周治,のぐち しゅうじ,日本共産党,日本共産党,1,,
7,斉藤 優香,さいとう ゆか,無所属,無所属,2,,広報広聴常任委員会委員長
8,千葉 圭一,ちば けいいち,公明党,公明党,1,,民生文教常任委員会副委員長・議会運営委員会副委員長
9,佐々木 修,ささき おさむ,無所属,無所属,13,,
10,加藤 進,かとう すすむ,無所属,無所属,3,,
11,山本 裕子,やまもと ゆうこ,無所属,無所属,1,,令和6年中に辞職。第11議席は令和7年6月現在 空席
12,東 隆一,あずま りゅういち,無所属,無所属,2,,総務経済常任委員会委員長
13,松田 兼宗,まつだ けんそう,無所属,無所属,6,,
14,木村 俊広,きむら としひろ,無所属,無所属,5,議長,一般質問は慣例として行わない
15,檀上 美緒子,だんじょう みおこ,,,0,,前期議員（令和5年4月の改選で退任）。第114号（改選前の令和5年3月会議）の一般質問にのみ登場。seatは現議席ではなく並び順用の便宜値。ふりがなは推定。
16,宮本 秀逸,みやもと しゅういつ,,,0,,前期議員（令和5年4月の改選で退任）。第114号（改選前の令和5年3月会議）の一般質問にのみ登場。seatは現議席ではなく並び順用の便宜値。ふりがなは推定。
